node,new_score,original_sco,diff
anon_S124E,687.072562174,695.0,-7.927437826
anon_S69E,635.634311258,636.0,-0.365688742
anon_S1090E,612.380551246,776.0,-163.619448754
anon_S1448E,556.417023441,531.0,25.417023441
anon_S2570E,603.167212816,418.0,185.167212816
anon_S4226E,616.065873642,657.0,-40.934126358
anon_S3394E,567.270656615,627.0,-59.729343385
anon_S308E,578.233565464,591.0,-12.766434536
anon_S5439E,555.054520383,534.0,21.054520383
anon_S2075E,538.262773271,533.0,5.262773271
anon_S2407E,624.000445986,528.0,96.000445986
anon_S2703E,657.46154342,512.0,145.46154342
anon_S2934E,581.841914734,627.0,-45.158085266
anon_S5249E,662.848268728,673.0,-10.151731272
anon_S735E,600.062956015,604.0,-3.937043985
anon_S5240E,610.733627405,723.0,-112.266372595
anon_S5937E,533.033642233,501.0,32.033642233
anon_S5464E,513.200617239,495.0,18.200617239
anon_S3297E,637.732846289,604.0,33.732846289
anon_S171E,595.633699732,519.0,76.633699732
anon_S5272E,554.754711825,522.0,32.754711825
anon_S2634E,544.691567975,486.0,58.691567975
anon_S2981E,544.989372371,582.0,-37.010627629
anon_S4695E,424.367732939,396.0,28.367732939
anon_S675E,668.0,668.0,0.0
anon_S350E,693.0,693.0,0.0
anon_S2812E,665.055546301,766.0,-100.944453699
anon_S6018E,594.503268971,650.0,-55.496731029
anon_S2506E,541.473275778,482.0,59.473275778
anon_S841E,377.406408548,324.0,53.406408548
anon_S522E,560.606858614,642.0,-81.393141386
anon_S3516E,651.441579538,525.0,126.441579538
anon_S2846E,549.248454816,314.0,235.248454816
anon_S4579E,563.788649251,563.0,0.788649251
anon_S2025E,620.902206783,691.0,-70.097793217
anon_S4723E,513.870850807,540.0,-26.129149193
anon_S4379E,596.296342927,515.0,81.296342927
anon_S4444E,623.861685676,620.0,3.861685676
anon_S4654E,530.763427835,472.0,58.763427835
anon_S4749E,581.212637394,658.0,-76.787362606
anon_S5772E,572.283000825,543.0,29.283000825
anon_S625E,743.862595664,749.0,-5.137404336
anon_S3881E,504.381102459,340.0,164.381102459
anon_S3471E,653.503982489,606.0,47.503982489
anon_S4589E,528.034107531,528.0,0.034107531
anon_S1152E,710.256718753,739.0,-28.743281247
anon_S4485E,644.671822051,476.0,168.671822051
anon_S4832E,552.348812337,582.0,-29.651187663
anon_S940E,614.0,614.0,0.0
anon_S3544E,595.130778787,587.0,8.130778787
anon_S2758E,661.232985346,562.0,99.232985346
anon_S5680E,565.362820015,555.0,10.362820015
anon_S1780E,647.20023408,659.0,-11.79976592
anon_S5212E,571.643507091,553.0,18.643507091
anon_S2618E,640.985212354,724.0,-83.014787646
anon_S2723E,640.50904248,713.0,-72.49095752
anon_S5440E,466.624383344,286.0,180.624383344
anon_S2479E,655.230370093,425.0,230.230370093
anon_S1043E,577.0,577.0,0.0
anon_S1836E,588.640588764,740.0,-151.359411236
anon_S1918E,639.146101744,733.0,-93.853898256
anon_S5329E,551.210591687,520.0,31.210591687
anon_S1552E,611.151804569,522.0,89.151804569
anon_S1858E,624.052948646,677.0,-52.947051354
anon_S1638E,572.309124277,559.0,13.309124277
anon_S1472E,569.71506731,566.0,3.71506731
anon_S5611E,574.627375862,591.0,-16.372624138
anon_S2551E,623.861685676,499.0,124.861685676
anon_S1703E,576.545643825,587.0,-10.454356175
anon_S5291E,546.175759674,544.0,2.175759674
anon_S1589E,602.818458678,683.0,-80.181541322
anon_S2049E,544.864075194,555.0,-10.135924806
anon_S24E,560.978419561,681.0,-120.021580439
anon_S292E,606.037510025,522.0,84.037510025
anon_S178E,611.375438888,586.0,25.375438888
anon_S332E,614.217943104,653.0,-38.782056896
anon_S3644E,585.412623859,657.0,-71.587376141
anon_S2791E,661.315680945,648.0,13.315680945
anon_S249E,633.105983057,487.0,146.105983057
anon_S5965E,575.896118139,599.0,-23.103881861
anon_S778E,626.319936518,626.0,0.319936518
anon_S1681E,646.041608945,728.0,-81.958391055
anon_S3325E,460.0,460.0,0.0
anon_S4796E,513.555049884,593.0,-79.444950116
anon_S214E,611.154573308,623.0,-11.845426692
anon_S6113E,545.275912801,522.0,23.275912801
anon_S833E,517.516722428,507.0,10.516722428
anon_S5823E,605.77174904,553.0,52.77174904
anon_S3387E,645.854106514,521.0,124.854106514
anon_S3528E,630.951797797,577.0,53.951797797
anon_S649E,605.0,605.0,0.0
anon_S3415E,639.400894297,442.0,197.400894297
anon_S859E,599.534610252,624.0,-24.465389748
anon_S6066E,575.414525126,600.0,-24.585474874
anon_S1172E,474.785651672,451.0,23.785651672
anon_S371E,545.214614244,508.0,37.214614244
anon_S4361E,552.585603633,555.0,-2.414396367
anon_S2015E,570.310565227,511.0,59.310565227
anon_S3239E,623.729005686,612.0,11.729005686
anon_S2838E,579.137132129,635.0,-55.862867871
anon_S5635E,534.894460083,512.0,22.894460083
anon_S1934E,651.547008547,551.0,100.547008547
anon_S5708E,545.184887544,606.0,-60.815112456
anon_S4150E,578.912839892,599.0,-20.087160108
anon_S4673E,567.221868269,567.0,0.221868269
anon_S3264E,667.3464754,604.0,63.3464754
anon_S4205E,603.167212816,519.0,84.167212816
anon_S3813E,657.197571516,695.0,-37.802428484
anon_S3734E,655.512519191,712.0,-56.487480809
anon_S5668E,584.712586137,583.0,1.712586137
anon_S4928E,563.780547942,538.0,25.780547942
anon_S4848E,579.011441345,650.0,-70.988558655
anon_S3977E,616.428491593,398.0,218.428491593
anon_S4975E,574.054553734,524.0,50.054553734
anon_S5068E,563.601590215,578.0,-14.398409785
anon_S3311E,588.707611336,636.0,-47.292388664
anon_S5755E,580.843320938,713.0,-132.156679062
anon_S5058E,617.218070438,677.0,-59.781929562
anon_S2495E,544.70833069,494.0,50.70833069
anon_S4815E,556.788228703,601.0,-44.211771297
anon_S5002E,551.624952161,535.0,16.624952161
anon_S1382E,615.560285084,617.0,-1.439714916
anon_S1813E,663.505373784,649.0,14.505373784
anon_S1488E,538.028321868,436.0,102.028321868
anon_S2779E,652.234471361,579.0,73.234471361
anon_S1828E,655.828900363,555.0,100.828900363
anon_S83E,587.360029976,716.0,-128.639970024
anon_S5164E,558.645024506,548.0,10.645024506
anon_S1966E,661.449346893,557.0,104.449346893
anon_S2179E,597.220865178,616.0,-18.779134822
anon_S2644E,544.679765767,486.0,58.679765767
anon_S5992E,584.994878337,665.0,-80.005121663
anon_S5794E,574.137578933,604.0,-29.862421067
anon_S1528E,655.921039843,643.0,12.921039843
anon_S5364E,622.118320242,630.0,-7.881679758
anon_S1761E,640.074838673,591.0,49.074838673
anon_S1622E,604.405982991,613.0,-8.594017009
anon_S1293E,431.0,431.0,0.0
anon_S6006E,638.757249666,712.0,-73.242750334
anon_S395E,591.915100829,584.0,7.915100829
anon_S5289E,687.605231601,745.0,-57.394768399
anon_S3172E,642.436585456,623.0,19.436585456
anon_S886E,561.057660184,561.0,0.057660184
anon_S2004E,626.744964753,490.0,136.744964753
anon_S2454E,624.000445986,433.0,191.000445986
anon_S1457E,663.329830645,627.0,36.329830645
anon_S108E,616.0,616.0,0.0
anon_S2821E,553.637304284,504.0,49.637304284
anon_S4410E,563.116279215,649.0,-85.883720785
anon_S2549E,547.985173811,509.0,38.985173811
anon_S2967E,563.788156503,541.0,22.788156503
anon_S3618E,575.281081432,558.0,17.281081432
anon_S2789E,636.594401868,589.0,47.594401868
anon_S2353E,594.642617977,551.0,43.642617977
anon_S4345E,550.919128233,514.0,36.919128233
anon_S162E,595.789132615,556.0,39.789132615
anon_S2237E,595.862033426,633.0,-37.137966574
anon_S2685E,646.041608945,542.0,104.041608945
anon_S3240E,581.385316327,568.0,13.385316327
anon_S2898E,598.108987244,676.0,-77.891012756
anon_S766E,569.560166763,568.0,1.560166763
anon_S3763E,628.369840189,514.0,114.369840189
anon_S3080E,544.910189518,321.0,223.910189518
anon_S1958E,591.938757007,526.0,65.938757007
anon_S3011E,648.690677637,581.0,67.690677637
anon_S4016E,579.137132129,537.0,42.137132129
anon_S4624E,508.626927701,431.0,77.626927701
anon_S929E,582.729079082,582.0,0.729079082
anon_S3567E,556.608329488,635.0,-78.391670512
anon_S2185E,588.640588764,601.0,-12.359411236
anon_S3957E,603.053100065,588.0,15.053100065
anon_S6107E,536.330712731,491.0,45.330712731
anon_S437E,392.0,392.0,0.0
anon_S1111E,690.049042289,692.0,-1.950957711
anon_S5483E,576.171143624,562.0,14.171143624
anon_S5833E,525.443522546,471.0,54.443522546
anon_S4686E,528.212209728,527.0,1.212209728
anon_S987E,574.0,574.0,0.0
anon_S3509E,549.248454816,438.0,111.248454816
anon_S3989E,680.776616893,696.0,-15.223383107
anon_S1873E,657.652034842,498.0,159.652034842
anon_S1751E,620.735248564,688.0,-67.264751436
anon_S1360E,551.399437274,551.0,0.399437274
anon_S4215E,603.694080095,623.0,-19.305919905
anon_S4738E,507.361995792,514.0,-6.638004208
anon_S1906E,538.251382965,529.0,9.251382965
anon_S5652E,568.811459065,575.0,-6.188540935
anon_S5818E,592.067258318,669.0,-76.932741682
anon_S3601E,667.221687732,634.0,33.221687732
anon_S4765E,541.065089055,515.0,26.065089055
anon_S1462E,514.620818014,438.0,76.620818014
anon_S1098E,540.756003969,506.0,34.756003969
anon_S4171E,557.989619806,511.0,46.989619806
anon_S4883E,575.303061334,581.0,-5.696938666
anon_S2596E,612.157262445,506.0,106.157262445
anon_S4912E,568.999138522,625.0,-56.000861478
anon_S746E,577.085026026,554.0,23.085026026
anon_S1744E,634.402564787,713.0,-78.597435213
anon_S1398E,549.486887405,549.0,0.486887405
anon_S1513E,589.021841734,524.0,65.021841734
anon_S4044E,573.265033892,607.0,-33.734966108
anon_S392E,577.656473217,577.0,0.656473217
anon_S1807E,670.566722821,526.0,144.566722821
